word,freq,percentage,1557,word,percentage
largely,1,0.000642261,,,
Only,1,0.000642261,,,
meh,1,0.000642261,,,
ag,1,0.000642261,,,
directly,1,0.000642261,,,
fortunately,1,0.000642261,,,
nice,1,0.000642261,,,
unusually,1,0.000642261,,,
firstly,1,0.000642261,,,
fully,1,0.000642261,,,
approximately,1,0.000642261,,,
whatsoever,1,0.000642261,,,
strangely,1,0.000642261,,,
Unfortunately,1,0.000642261,,,
fall,1,0.000642261,,,
proofed,1,0.000642261,,,
recently,1,0.000642261,,,
trally,1,0.000642261,,,
mainly,1,0.000642261,,,
halfway,1,0.000642261,,,
satisfactorily,1,0.000642261,,,
cuddly,1,0.000642261,,,
safely,1,0.000642261,,,
heavier,1,0.000642261,,,
intensely,1,0.000642261,,,
musually,1,0.000642261,,,
start,1,0.000642261,,,
importantly,1,0.000642261,,,
tip,1,0.000642261,,,
hopefully,1,0.000642261,,,
purposely,1,0.000642261,,,
significantly,1,0.000642261,,,
circumferentially,1,0.000642261,,,
funky,1,0.000642261,,,
tall,1,0.000642261,,,
unflatteringly,1,0.000642261,,,
necessarily,1,0.000642261,,,
narrow,1,0.000642261,,,
unbelievably,1,0.000642261,,,
overly,1,0.000642261,,,
somehow,1,0.000642261,,,
petite,1,0.000642261,,,
awful,1,0.000642261,,,
incorrectly,1,0.000642261,,,
accordingly,1,0.000642261,,,
soooo,1,0.000642261,,,
empire,1,0.000642261,,,
therefore,1,0.000642261,,,
pricy,1,0.000642261,,,
blouse,1,0.000642261,,,
unprofessionally,1,0.000642261,,,
pilly,1,0.000642261,,,
enormously,1,0.000642261,,,
aside,1,0.000642261,,,
bulkier,1,0.000642261,,,
practically,1,0.000642261,,,
little,1,0.000642261,,,
successfully,1,0.000642261,,,
indecently,1,0.000642261,,,
hugh,1,0.000642261,,,
exceptionally,1,0.000642261,,,
Usually,1,0.000642261,,,
nightgown,1,0.000642261,,,
oh,1,0.000642261,,,
regardless,1,0.000642261,,,
bright,1,0.000642261,,,
best,1,0.000642261,,,
odd,1,0.000642261,,,
awesome,1,0.000642261,,,
looser,1,0.000642261,,,
later,1,0.000642261,,,
versatile,1,0.000642261,,,
positively,1,0.000642261,,,
favorably,1,0.000642261,,,
Sadly,1,0.000642261,,,
lik,1,0.000642261,,,
majorly,1,0.000642261,,,
sure,1,0.000642261,,,
admittedly,1,0.000642261,,,
elsewhere,1,0.000642261,,,
doe,1,0.000642261,,,
widely,1,0.000642261,,,
naturally,1,0.000642261,,,
sorely,1,0.000642261,,,
online,1,0.000642261,,,
uneven,1,0.000642261,,,
eva,1,0.000642261,,,
mi,1,0.000642261,,,
swimmingly,1,0.000642261,,,
heard,1,0.000642261,,,
happily,1,0.000642261,,,
strongly,1,0.000642261,,,
cute,1,0.000642261,,,
damp,1,0.000642261,,,
nearly,1,0.000642261,,,
ha,1,0.000642261,,,
home,1,0.000642261,,,
midway,1,0.000642261,,,
eventually,1,0.000642261,,,
leaf,1,0.000642261,,,
double,1,0.000642261,,,
constantly,1,0.000642261,,,
continually,1,0.000642261,,,
remotely,1,0.000642261,,,
worse,1,0.000642261,,,
impossibly,1,0.000642261,,,
sat,1,0.000642261,,,
thoroughly,1,0.000642261,,,
apparently,1,0.000642261,,,
im,1,0.000642261,,,
proportionally,1,0.000642261,,,
weirdly,1,0.000642261,,,
twenty,1,0.000642261,,,
rarely,1,0.000642261,,,
consistently,1,0.000642261,,,
tightly,1,0.000642261,,,
steadly,1,0.000642261,,,
excitedly,1,0.000642261,,,
severely,1,0.000642261,,,
Really,1,0.000642261,,,
somewhere,1,0.000642261,,,
heavily,1,0.000642261,,,
rely,1,0.000642261,,,
hard,1,0.000642261,,,
jaggedly,1,0.000642261,,,
haphazardly,1,0.000642261,,,
